internalTaxonId,assessmentId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,redlistCategory,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22697789,131879000,Eudyptes sclateri,ANIMALIA,CHORDATA,SPHENISCIFORMES,AVES,SPHENISCIDAE,Eudyptes,sclateri,Endangered,,,,"Buller, 1888",
22697782,132602343,Eudyptes robustus,ANIMALIA,CHORDATA,SPHENISCIFORMES,AVES,SPHENISCIDAE,Eudyptes,robustus,Vulnerable,,,,"Oliver, 1953",
22697797,132603136,Eudyptes schlegeli,ANIMALIA,CHORDATA,SPHENISCIFORMES,AVES,SPHENISCIDAE,Eudyptes,schlegeli,Near Threatened,,,,"Finsch, 1876",
22697810,157423361,Spheniscus demersus,ANIMALIA,CHORDATA,SPHENISCIFORMES,AVES,SPHENISCIDAE,Spheniscus,demersus,Endangered,,,,"(Linnaeus, 1758)",
22697822,157428850,Spheniscus magellanicus,ANIMALIA,CHORDATA,SPHENISCIFORMES,AVES,SPHENISCIDAE,Spheniscus,magellanicus,Least Concern,,,,"(Forster, 1781)",
22697752,157658053,Aptenodytes forsteri,ANIMALIA,CHORDATA,SPHENISCIFORMES,AVES,SPHENISCIDAE,Aptenodytes,forsteri,Near Threatened,,,,"Gray, 1844",
22697758,157660553,Pygoscelis adeliae,ANIMALIA,CHORDATA,SPHENISCIFORMES,AVES,SPHENISCIDAE,Pygoscelis,adeliae,Least Concern,,,,"(Hombron & Jacquinot, 1841)",
22697755,157664581,Pygoscelis papua,ANIMALIA,CHORDATA,SPHENISCIFORMES,AVES,SPHENISCIDAE,Pygoscelis,papua,Least Concern,,,,"(Forster, 1781)",
22697776,182279725,Eudyptes pachyrhynchus,ANIMALIA,CHORDATA,SPHENISCIFORMES,AVES,SPHENISCIDAE,Eudyptes,pachyrhynchus,Near Threatened,,,,"Gray, 1845",
22697800,182703046,Megadyptes antipodes,ANIMALIA,CHORDATA,SPHENISCIFORMES,AVES,SPHENISCIDAE,Megadyptes,antipodes,Endangered,,,,"(Hombron & Jacquinot, 1841)",
22697817,182714418,Spheniscus humboldti,ANIMALIA,CHORDATA,SPHENISCIFORMES,AVES,SPHENISCIDAE,Spheniscus,humboldti,Vulnerable,,,,"Meyen, 1834",
22697825,182729677,Spheniscus mendiculus,ANIMALIA,CHORDATA,SPHENISCIFORMES,AVES,SPHENISCIDAE,Spheniscus,mendiculus,Endangered,,,,"Sundevall, 1871",
22735250,182762377,Eudyptes chrysocome,ANIMALIA,CHORDATA,SPHENISCIFORMES,AVES,SPHENISCIDAE,Eudyptes,chrysocome,Vulnerable,,,,"(Forster, 1781)","So far, there have been six genetic studies undertaken on rockhopper penguins using different genetic technics and analysis (Banks <em>et al.</em>&#160;2006; Jouventin <em>et al.</em>&#160;2006; de Dinechin <em>et al.</em>&#160;2009, Frugone <em>et al.</em> 2018, Mays <em>et al.</em> 2019, Lois <em>et al.</em> 2020). Jouventin<em> et al.</em> (2006) found only significant genetic differentiation between the northern and southern/ eastern populations. However, Banks<em> et al.</em> (2006) identified three species, and proposed a further split of <em>E. chrysocome </em>into southern (<em>E. chrysocome</em>) and eastern (<em>E. filholi</em>) ‘species’. This was not adopted by BirdLife International on the grounds of small sample sizes and limited morphological differences between the southern and eastern forms (BirdLife International 2008). However, further research by de Dinechin <em>et al.</em> (2009) also supported the split of <em>chrysocome</em> and <em>filholi</em>.<br/>Recently, Frugone <em>et al. </em>(2018) analyzed two mtDNA (HVRI, COI) and two nuclear (ODC, AK1) markers from 13 locations of five putative Eudyptes species: rockhopper (<em>E. filholi</em>, <em>E. chrysocome</em>, and <em>E. moseleyi</em>), macaroni (<em>E. chrysolophus</em>) and royal penguins (<em>E. schlegeli</em>). They found a strong phylogeographic structure among rockhopper penguins from South America, subantarctic and subtropical islands supporting the recognition of three separate species of rockhopper penguins. Mays <em>et al.</em> (2019), on the other hand, using similar markers but different modelling also found genetic structure and low genetic flow, but in his analyses the best-supported population models for the southern rockhoppers combined <em>E. c. chrysocome</em> and <em>E. c. filholi</em> into a single lineage or 2 lineages with bidirectional gene flow, and thus proposed that they should be treated as different management units only. Lois <em>et al.</em> (2020) added new information on the southern rockhopper (<em>E. c. chrysocome</em>) from the southwest Atlantic Ocean. Studying the genetic structure of individuals from different colonies located in the southwest Atlantic they found evidence for two genetic clusters within the rockhopper, one northern (Falkland/ Malvinas Islands and Isla Pingüino) and one southern (Terhalten and Staten Island)."
22697748,184637776,Aptenodytes patagonicus,ANIMALIA,CHORDATA,SPHENISCIFORMES,AVES,SPHENISCIDAE,Aptenodytes,patagonicus,Least Concern,,,,"Miller, 1778",
